conname,contype,src_table,src_cols,tgt_table,tgt_cols,confdeltype
product_pricelist_item_pkey,p,product_pricelist_item,id,,, 
product_product_create_uid_fkey,f,product_product,create_uid,res_users,id,n
product_product_product_tmpl_id_fkey,f,product_product,product_tmpl_id,product_template,id,c
product_product_write_uid_fkey,f,product_product,write_uid,res_users,id,n
product_product_pkey,p,product_product,id,,, 
product_supplier_taxes_rel_prod_id_fkey,f,product_supplier_taxes_rel,prod_id,product_template,id,c
product_supplier_taxes_rel_tax_id_fkey,f,product_supplier_taxes_rel,tax_id,account_tax,id,c
product_supplier_taxes_rel_pkey,p,product_supplier_taxes_rel,"prod_id,tax_id",,, 
product_supplierinfo_company_id_fkey,f,product_supplierinfo,company_id,res_company,id,n
product_supplierinfo_create_uid_fkey,f,product_supplierinfo,create_uid,res_users,id,n
product_supplierinfo_currency_id_fkey,f,product_supplierinfo,currency_id,res_currency,id,r
product_supplierinfo_partner_id_fkey,f,product_supplierinfo,partner_id,res_partner,id,c
product_supplierinfo_product_id_fkey,f,product_supplierinfo,product_id,product_product,id,n
product_supplierinfo_product_tmpl_id_fkey,f,product_supplierinfo,product_tmpl_id,product_template,id,c
product_supplierinfo_product_uom_id_fkey,f,product_supplierinfo,product_uom_id,uom_uom,id,r
product_supplierinfo_write_uid_fkey,f,product_supplierinfo,write_uid,res_users,id,n
product_supplierinfo_pkey,p,product_supplierinfo,id,,, 
product_tag_create_uid_fkey,f,product_tag,create_uid,res_users,id,n
product_tag_write_uid_fkey,f,product_tag,write_uid,res_users,id,n
product_tag_pkey,p,product_tag,id,,, 
product_tag_name_uniq,u,product_tag,name,,, 
product_tag_product_product_rel_product_product_id_fkey,f,product_tag_product_product_rel,product_product_id,product_product,id,c
product_tag_product_product_rel_product_tag_id_fkey,f,product_tag_product_product_rel,product_tag_id,product_tag,id,c
product_tag_product_product_rel_pkey,p,product_tag_product_product_rel,"product_product_id,product_tag_id",,, 
product_tag_product_template_rel_product_tag_id_fkey,f,product_tag_product_template_rel,product_tag_id,product_tag,id,c
product_tag_product_template_rel_product_template_id_fkey,f,product_tag_product_template_rel,product_template_id,product_template,id,c
product_tag_product_template_rel_pkey,p,product_tag_product_template_rel,"product_template_id,product_tag_id",,, 
product_taxes_rel_prod_id_fkey,f,product_taxes_rel,prod_id,product_template,id,c
product_taxes_rel_tax_id_fkey,f,product_taxes_rel,tax_id,account_tax,id,c
product_taxes_rel_pkey,p,product_taxes_rel,"prod_id,tax_id",,, 
product_template_categ_id_fkey,f,product_template,categ_id,product_category,id,n
product_template_company_id_fkey,f,product_template,company_id,res_company,id,n
product_template_create_uid_fkey,f,product_template,create_uid,res_users,id,n
product_template_uom_id_fkey,f,product_template,uom_id,uom_uom,id,r
product_template_write_uid_fkey,f,product_template,write_uid,res_users,id,n
product_template_pkey,p,product_template,id,,, 
product_template_attribute_ex_product_template_attribute_v_fkey,f,product_template_attribute_exclusion,product_template_attribute_value_id,product_template_attribute_value,id,c
product_template_attribute_exclusion_create_uid_fkey,f,product_template_attribute_exclusion,create_uid,res_users,id,n
product_template_attribute_exclusion_product_tmpl_id_fkey,f,product_template_attribute_exclusion,product_tmpl_id,product_template,id,c
product_template_attribute_exclusion_write_uid_fkey,f,product_template_attribute_exclusion,write_uid,res_users,id,n
product_template_attribute_exclusion_pkey,p,product_template_attribute_exclusion,id,,, 
product_template_attribute_line_attribute_id_fkey,f,product_template_attribute_line,attribute_id,product_attribute,id,r
product_template_attribute_line_create_uid_fkey,f,product_template_attribute_line,create_uid,res_users,id,n
product_template_attribute_line_product_tmpl_id_fkey,f,product_template_attribute_line,product_tmpl_id,product_template,id,c
product_template_attribute_line_write_uid_fkey,f,product_template_attribute_line,write_uid,res_users,id,n
product_template_attribute_line_pkey,p,product_template_attribute_line,id,,, 
product_template_attribute_valu_product_attribute_value_id_fkey,f,product_template_attribute_value,product_attribute_value_id,product_attribute_value,id,c
product_template_attribute_value_attribute_id_fkey,f,product_template_attribute_value,attribute_id,product_attribute,id,n
product_template_attribute_value_attribute_line_id_fkey,f,product_template_attribute_value,attribute_line_id,product_template_attribute_line,id,c
product_template_attribute_value_create_uid_fkey,f,product_template_attribute_value,create_uid,res_users,id,n
product_template_attribute_value_product_tmpl_id_fkey,f,product_template_attribute_value,product_tmpl_id,product_template,id,n
product_template_attribute_value_write_uid_fkey,f,product_template_attribute_value,write_uid,res_users,id,n
product_template_attribute_value_pkey,p,product_template_attribute_value,id,,, 
product_template_attribute_value_attribute_value_unique,u,product_template_attribute_value,"attribute_line_id,product_attribute_value_id",,, 
product_template_uom_uom_rel_product_template_id_fkey,f,product_template_uom_uom_rel,product_template_id,product_template,id,c
product_template_uom_uom_rel_uom_uom_id_fkey,f,product_template_uom_uom_rel,uom_uom_id,uom_uom,id,c
product_template_uom_uom_rel_pkey,p,product_template_uom_uom_rel,"product_template_id,uom_uom_id",,, 
product_uom_company_id_fkey,f,product_uom,company_id,res_company,id,n
product_uom_create_uid_fkey,f,product_uom,create_uid,res_users,id,n
product_uom_product_id_fkey,f,product_uom,product_id,product_product,id,c
